New District,State Name
Baudh,OR
BEED,MH
BEGUSARAI,BR
BELAGAVI,KA
Belagavi (Belgaum),KA
Belgaum,KA
Bellary,KA
BEMETARA,CG
Bengaluru,KA
Bengaluru (Bangalore) Rural,KA
Bengaluru (Bangalore) Urban,KA
BENGALURU RURAL,KA
BENGALURU URBAN,KA
BETUL,MP
BHADOHI,UP
BHADRADRI KOTHAGUDEM,TS
BHADRAK,OR
BHAGALPUR,BR
BHANDARA,MH
BHARATPUR,RJ
BHARUCH,GJ
Bhasma,OR
BHAVNAGAR,GJ
BHILWARA,RJ
BHIND,MP
BHIWANI,HR
BHOJPUR,BR
Bhongir,TS
BHOPAL,MP
Bid,MH
BIDAR,KA
BIJAPUR,CG
Bijapur,KA
Bijapur(CGH),CG
Bijapur(KAR),KA
BIJNOR,UP
BIKANER,RJ
BILASPUR,CG
BILASPUR,HP
Bilaspur (HP),HP
Bilaspur Hp,HP
Bilaspur(CGH),CG
BIRBHUM,WB
BISHNUPUR,MN
Biswanath,AS
BOKARO,JH
BONGAIGAON,AS
Botab,GJ
BOTAD,GJ
BOUDH,OR
BUDAUN,UP
Budgam,JK
BULANDSHAHR,UP
Buldana,MH
BULDHANA,MH
BUNDI,RJ
BURHANPUR,MP
BUXAR,BR
CACHAR,AS
CENTRAL,DL
Central Delhi,DL
Chamarajanagar,KA
CHAMARAJANAGARA,KA
CHAMBA,HP
CHAMOLI,UA
CHAMPAWAT,UA
CHAMPHAI,MZ
Chamrajnagar,KA
CHANDAULI,UP
CHANDEL,MN
CHANDIGARH,CH
Chandighar,PB
Chandighar,CH
CHANDRAPUR,MH
CHANGLANG,AR
CHARAIDEO,AS
Charkhi Dadri,HR
CHARKI DADRI,HR
CHATRA,JH
CHENGALPATTU,TN
CHENNAI,TN
CHHATARPUR,MP
CHHINDWARA,MP
Chhota Udepur,GJ
CHHOTAUDEPUR,GJ
Chickmagalur,KA
Chikballapur,KA
Chikkaballapur,KA
CHIKKABALLAPURA,KA
CHIKKAMAGALURU,KA
Chikkamagaluru (Chikmagalur),KA
Chikmagalur,KA
CHIRANG,AS
CHITRADURGA,KA
CHITRAKOOT,UP
Chittaurgarh,RJ
CHITTOOR,AP
CHITTORGARH,RJ
CHURACHANDPUR,MN
CHURU,RJ
COIMBATORE,TN
Cooch Behar,WB
COOCHBEHAR,WB
CUDDALORE,TN
Cuddapah,AP
CUTTACK,OR
Cuttack Sadar,OR
DADRA AND NAGAR HAVELI,DD
Dadra Nagar Haveli,DD
Dahod,GJ
Dakshin Bastar Dantewada,CG
Dakshin Dinajpur,WB
Dakshin Dinajpur (South Dinajpur),WB
DAKSHINA KANNADA,KA
DAMAN,DD
DAMOH,MP
DANG,GJ
Dangs,GJ
Dangs (Ahwa),GJ
DANTEWADA,CG
Dantewada (South Bastar),CG
DARBHANGA,BR
Darbhanga,GA
DARJEELING,WB
Darjiling,WB
DARRANG,AS
DATIA,MP
DAUSA,RJ
Davanagere,KA
DAVANGERE,KA
Debagarh,OR
DEHRADUN,UA
DEOGARH,OR
DEOGHAR,JH
DEORIA,UP
Devbhoomi Dwarka,GJ
Devbhoomi Dwerka,GJ
DEVBHUMI DWARKA,GJ
DEWAS,MP
Dhalai,TR
DHAMTARI,CG
DHANBAD,JH
DHAR,MP
Dharmanagar,TR
DHARMAPURI,TN
DHARWAD,KA
Dhaulpur,RJ
DHEMAJI,AS
DHENKANAL,OR
DHOLPUR,RJ
DHUBRI,AS
DHULE,MH
DIBANG VALLEY,AR
DIBRUGARH,AS
DIMA HASAO,AS
Dima Hasao (North Cachar Hills),AS
Dima Hasso - North Cachar Hill,AS
DIMAPUR,NL
Dimapur,SK
DINAJPUR DAKSHIN,WB
DINAJPUR UTTAR,WB
DINDIGUL,TN
DINDORI,MP
DIU,DD
DODA,JK
DOHAD,GJ
DUMKA,JH
DUNGARPUR,RJ
DURG,CG
EAST,DL
East Champaran,BR
East Champaran (Motihari),BR
East Delhi,DL
EAST DISTRICT,SK
EAST GARO HILLS,ML
EAST GODAVARI,AP
EAST JAINTIA HILLS,ML
EAST KAMENG,AR
EAST KHASI HILLS,ML
East Midnapore,WB
EAST NIMAR,MP
EAST SIANG,AR
East Sikkim,SK
East Singhbhum,JH
EAST SINGHBUM,JH
ERNAKULAM,KL
ERODE,TN
ETAH,UP
ETAWAH,UP
Faizabad,UP
FARIDABAD,HR
FARIDKOT,PB
FARRUKHABAD,UP
FATEHABAD,HR
FATEHGARH SAHIB,PB
FATEHPUR,UP
FAZILKA,PB
Ferozepur,PB
FIROZABAD,UP
FIROZEPUR,PB
Firozpur,PB
GADAG,KA
GADCHIROLI,MH
Gadwal,TS
GAJAPATI,OR
GANDERBAL,JK
Gandhi Nagar,GJ
GANDHINAGAR,GJ
GANGANAGAR,RJ
GANJAM,OR
GARHWA,JH
Garhwal,UA
Gariaband,CG
GARIYABAND,CG
Gaurella Pendra Marwahi,CG
GAUTAM BUDDHA NAGAR,UP
GAYA,BR
GHAZIABAD,UP
GHAZIPUR,UP
GIR SOMNATH,GJ
Giridh,JH
GIRIDIH,JH
GOALPARA,AS
GODDA,JH
GOLAGHAT,AS
Gomati,TR
Gomti,TR
GONDA,UP
GONDIA,MH
Gondiya,MH
GOPALGANJ,BR
GORAKHPUR,UP
Gulbarga,KA
GUMLA,JH
GUNA,MP
GUNTUR,AP
GURDASPUR,PB
Gurgaon,HR
GURUGRAM,HR
GWALIOR,MP
HAILAKANDI,AS
HAMIRPUR,HP
HAMIRPUR,UP
Hamirpur(HP),HP
Hanamkonda,TS
HANUMANGARH,RJ
Haora,WB
HAPUR,UP
Hapur (Panchsheel Nagar),UP
HARDA,MP
HARDOI,UP
Hardwar,UA
HARIDWAR,UA
Haridwar,UP
HASSAN,KA
HATHRAS,UP
HAVERI,KA
Hazaribag,JH
HAZARIBAGH,JH
Hindupur,AP
HINGOLI,MH
HISAR,HR
Hnahthial,MZ
HOJAI,AS
HOOGHLY,WB
HOSHANGABAD,MP
HOSHIARPUR,PB
HOWRAH,WB
Hubballi,KA
Hugli,WB
HYDERABAD,TS
IDUKKI,KL
IMPHAL EAST,MN
IMPHAL WEST,MN
INDORE,MP
JABALPUR,MP
JAGATSINGHAPUR,OR
Jagdalpur,CG
Jagitial,TS
Jagtial,TS
Jaintia Hills,ML
JAIPUR,RJ
JAISALMER,RJ
JAJAPUR,OR
Jajpur,OR
JALANDHAR,PB
JALAUN,UP
JALGAON,MH
JALNA,MH
Jalor,RJ
JALORE,RJ
JALPAIGURI,WB
JAMMU,JK
JAMNAGAR,GJ
JAMTARA,JH
JAMUI,BR
Jangaon,TS
JANGOAN,TS
Janjgir - Champa,CG
Janjgirchampa,CG
JANJGIR-CHAMPA,CG
JASHPUR,CG
Jaspur,CG
JAUNPUR,UP
Jayashankar,TS
Jayashankar Bhoopalpally,TS
JAYASHANKAR BHUPALAPALLY,TS
JEHANABAD,BR
JHABUA,MP
JHAJJAR,HR
JHALAWAR,RJ
JHANSI,UP
Jhargram,WB
JHARSUGUDA,OR
Jhujhunu,RJ
JHUNJHUNU,RJ
Jhunjhunun,RJ
JIND,HR
JIRIBAM,MN
JODHPUR,RJ
JOGULAMBA GADWAL,TS
Joida,KA
JORHAT,AS
JUNAGADH,GJ
Jyotiba Phule Nagar,UP
K.V.Rangareddy,TS
KABIRDHAM,CG
Kabirdham (Kawardha),CG
KACHCHH,GJ
Kadapa,AP
KAIMUR (BHABUA),BR
Kaimur Bhabua,BR
KAITHAL,HR
KAKCHING,MN
KALABURAGI,KA
Kalaburagi (Gulbarga),KA
KALAHANDI,OR
KALIMPONG,WB
KALLAKURICHI,TN
KAMAREDDY,TS
KAMJONG,MN
KAMLE,AR
KAMRUP,AS
KAMRUP METRO,AS
Kamrup Metropolitan,AS
Kancheepuram,TN
KANCHIPURAM,TN
KANDHAMAL,OR
KANGPOKPI,MN
KANGRA,HP
KANKER,CG
Kanker (North Bastar),CG
KANNAUJ,UP
KANNIYAKUMARI,TN
KANNUR,KL
KANPUR DEHAT,UP
KANPUR NAGAR,UP
Kanshiram Nagar,UP
Kanshiram Nagar (Kasganj),UP
Kanyakumari,TN
KAPURTHALA,PB
KARAIKAL,PY
Karaikal,TN
KARAULI,RJ
KARBI ANGLONG,AS
KARGIL,LA
Karim Nagar,TS
KARIMGANJ,AS
KARIMNAGAR,TS
KARNAL,HR
KARUR,TN
KASARAGOD,KL
Kasargod,KL
Kasganj,UP
KATHUA,JK
KATIHAR,BR
KATNI,MP
KAUSHAMBI,UP
Kawardha,CG
KENDRAPARA,OR
KENDUJHAR,OR
Kendujhar (Keonjhar),OR
KHAGARIA,BR
KHAMMAM,TS
Khandwa,MP
Khandwa (East Nimar),MP
KHARGONE,MP
Khargone (West Nimar),MP
KHAWZAWL,MZ
KHEDA,GJ
Kheda (Nadiad),GJ
KHERI,UP
Khorda,OR
KHORDHA,OR
Khowai,TR
KHUNTI,JH
KINNAUR,HP
KIPHIRE,NL
KISHANGANJ,BR
Kishangarh,RJ
KISHTWAR,JK
Koch Bihar,WB
Kochi,LD
KODAGU,KA
Kodarma,JH
KODERMA,JH
KOHIMA,NL
KOKRAJHAR,AS
KOLAR,KA
KOLASIB,MZ
KOLHAPUR,MH
KOLKATA,WB
KOLLAM,KL
Komaram Bheem Asifabad,TS
KONDAGAON,CG
KOPPAL,KA
KORAPUT,OR
KORBA,CG
KOREA,CG
Korea (Koriya),CG
Koriya,CG
KOTA,RJ
Kothagudem,TS
Kothagudem Colls,TS
KOTTAYAM,KL
Kovvur,AP
KOZHIKODE,KL
KRA DAADI,AR
KRISHNA,AP
KRISHNAGIRI,TN
KULGAM,JK
KULLU,HP
KUMURAM BHEEM ASIFABAD,TS
KUPWARA,JK
KURNOOL,AP
KURUKSHETRA,HR
KURUNG KUMEY,AR
KUSHI NAGAR,UP
Kushinagar,UP
Kushinagar (Padrauna),UP
Lahaul & Spiti,HP
Lahul & Spiti,HP
LAHUL AND SPITI,HP
Lahul Spiti,HP
LAKHIMPUR,AS
Lakhimpur - Kheri,UP
LAKHISARAI,BR
Lakshadweep,LD
LAKSHADWEEP DISTRICT,LD
LALITPUR,UP
LATEHAR,JH
LATUR,MH
LAWNGTLAI,MZ
Leh,LA
LEH LADAKH,LA
LEPARADA,AR
LOHARDAGA,JH
LOHIT,AR
LONGDING,AR
LONGLENG,NL
LOWER DIBANG VALLEY,AR
LOWER SIANG,AR
LOWER SUBANSIRI,AR
LUCKNOW,UP
LUDHIANA,PB
LUNGLEI,MZ
Machilipatnam,AP
Madanapalle,AP
MADHEPURA,BR
MADHUBANI,BR
Madikeri,KA
MADURAI,TN
Mahabuababad,TS
Mahabub Nagar,TS
Mahabub Nagar,AP
MAHABUBABAD,TS
MAHABUBNAGAR,TS
Mahamaya Nagar,UP
MAHARAJGANJ,UP
MAHASAMUND,CG
Mahbubnagar,TS
MAHE,PY
Mahe,KL
MAHENDRAGARH,HR
MAHESANA,GJ
Mahisagar,GJ
MAHOBA,UP
Mahrajganj,UP
MAINPURI,UP
MAJULI,AS
MALAPPURAM,KL
Malda,WB
MALDAH,WB
Malegaon,MH
MALERKOTLA,PB
MALKANGIRI,OR
MAMIT,MZ
Mammit,MZ
MANCHERIAL,TS
MANDI,HP
MANDLA,MP
MANDSAUR,MP
MANDYA,KA
MANSA,PB
MARIGAON,AS
MATHURA,UP
MAU,UP
MAYILADUTHURAI,TN
MAYURBHANJ,OR
MEDAK,TS
Medchal,TS
MEDCHAL MALKAJGIRI,TS
MEDINIPUR EAST,WB
MEDINIPUR WEST,WB
MEERUT,UP
Mehsana,GJ
Mewat,HR
Miraj,MH
MIRZAPUR,UP
MOGA,PB
Mohali,PB
MOKOKCHUNG,NL
MON,NL
MORADABAD,UP
MORBI,GJ
MORENA,MP
Morigaon,AS
Muktsar,PB
Mulugu,TS
MUMBAI,MH
Mumbai City,MH
MUMBAI SUBURBAN,MH
MUNGELI,CG
MUNGER,BR
Munger (Monghyr),BR
MURSHIDABAD,WB
MUZAFFARNAGAR,UP
MUZAFFARPUR,BR
Mysore,KA
MYSURU,KA
Mysuru (Mysore),KA
Nabarangapur,OR
NABARANGPUR,OR
NADIA,WB
NAGAON,AS
NAGAPATTINAM,TN
Nagar Kurnool,TS
NAGARKURNOOL,TS
NAGAUR,RJ
NAGPUR,MH
NAINITAL,UA
NALANDA,BR
NALBARI,AS
NALGONDA,TS
NAMAKKAL,TN
NAMSAI,AR
NANDED,MH
NANDURBAR,MH
Nanjangud,KA
Narayanpet,TS
NARAYANPUR,CG
NARMADA,GJ
Narmada (Rajpipla),GJ
Narsimhapur,MP
NARSINGHPUR,MP
NASHIK,MH
NAVSARI,GJ
NAWADA,BR
Nawanshahr,PB
Nawanshahr (Shahid Bhagat Singh Nagar),PB
NAYAGARH,OR
NEEMUCH,MP
Nellore,AP
NEW DELHI,DL
Nicobar,AN
NICOBARS,AN
Nilgiris,TN
Nirmal,TS
Niwari,MP
NIZAMABAD,TS
Noklak,NL
NONEY,MN
NORTH,DL
North & Middle Andaman,AN
North 24 Parganas,WB
NORTH AND MIDDLE ANDAMAN,AN
North Cachar Hills,AS
North Delhi,DL
North Dinajpur,WB
NORTH DISTRICT,SK
NORTH EAST,DL
North East Delhi,DL
NORTH GARO HILLS,ML
NORTH GOA,GA
North Sikkim,WB
North Sikkim,SK
North Tripura,TR
North Twenty Four Parganas,WB
NORTH WEST,DL
North West Delhi,DL
NUAPADA,OR
NUH,HR
OSMANABAD,MH
PAKKE KESSANG,AR
PAKUR,JH
PALAKKAD,KL
Palamau,JH
PALAMU,JH
PALGHAR,MH
PALI,RJ
PALWAL,HR
PANCH MAHALS,GJ
PANCHKULA,HR
Panchmahal (Godhra),GJ
PANIPAT,HR
PANNA,MP
PAPUM PARE,AR
PARBHANI,MH
Parkal,TS
Paschim (West) Burdwan (Bardhaman),WB
PASCHIM BARDHAMAN,WB
Paschim Medinipur,WB
Paschim Medinipur (West Medinipur),WB
PASHCHIM CHAMPARAN,BR
Pashchimi Singhbhum,JH
PATAN,GJ
PATHANAMTHITTA,KL
PATHANKOT,PB
PATIALA,PB
PATNA,BR
PAURI GARHWAL,UA
PEDDAPALLI,TS
PERAMBALUR,TN
PEREN,NL
PHEK,NL
PHERZAWL,MN
PILIBHIT,UP
PITHORAGARH,UA
PONDICHERRY,PY
Pondicherry,TN
POONCH,JK
PORBANDAR,GJ
PRAKASAM,AP
PRATAPGARH,RJ
PRATAPGARH,UP
Pratapghar,RJ
PRAYAGRAJ,UP
Prayagraj Allahabad,UP
Puducherry,PY
PUDUKKOTTAI,TN
PULWAMA,JK
Punch,JK
PUNE,MH
PURBA BARDHAMAN,WB
Purba Burdwan (Bardhaman),WB
Purba Champaran,BR
Purba Medinipur,WB
Purba Medinipur (East Medinipur),WB
PURBI CHAMPARAN,BR
Purbi Singhbhum,JH
PURI,OR
PURNIA,BR
Purnia (Purnea),BR
PURULIA,WB
Puruliya,WB
RAE BARELI,UP
Raebareli,UP
RAICHUR,KA
RAIGAD,MH
RAIGARH,CG
Raigarh,MH
Raigarh(MH),MH
RAIPUR,CG
RAISEN,MP
RAJANNA SIRCILLA,TS
Rajauri,JK
RAJGARH,MP
RAJKOT,GJ
RAJNANDGAON,CG
RAJOURI,JK
RAJSAMAND,RJ
Ramanagar,KA
RAMANAGARA,KA
RAMANATHAPURAM,TN
RAMBAN,JK
RAMGARH,JH
RAMPUR,UP
RANCHI,JH
RANGA REDDY,TS
Rangareddy,TS
Rangareddy,AP
Ranipet,TN
RATLAM,MP
RATNAGIRI,MH
RAYAGADA,OR
REASI,JK
REWA,MP
REWARI,HR
RI BHOI,ML
ROHTAK,HR
ROHTAS,BR
Ropar,PB
RUDRA PRAYAG,UA
Rudraprayag,UA
RUPNAGAR,PB
S.A.S Nagar,PB
SABAR KANTHA,GJ
Sabarkantha,GJ
Sabarkantha (Himmatnagar),GJ
SAGAR,MP
SAHARANPUR,UP
SAHARSA,BR
SAHEBGANJ,JH
Sahibganj,JH
Sahibzada Ajit Singh Nagar,CH
Sahibzada Ajit Singh Nagar,PB
SAIHA,MZ
SAITUAL,MZ
SALEM,TN
SAMASTIPUR,BR
SAMBA,JK
SAMBALPUR,OR
SAMBHAL,UP
Sambhal (Bhim Nagar),UP
SANGAREDDY,TS
SANGLI,MH
SANGRUR,PB
SANT KABEER NAGAR,UP
Sant Kabir Nagar,UP
Sant Ravidas Nagar,UP
Sant Ravidas Nagar (Bhadohi),UP
SARAIKELA KHARSAWAN,JH
Saraikela-Kharsawan,JH
SARAN,BR
Saraswathipuram,KA
SATARA,MH
SATNA,MP
SAWAI MADHOPUR,RJ
SEHORE,MP
SENAPATI,MN
SEONI,MP
Sepahijala,TR
Seraikelakharsawan,JH
Seraikela-kharsawan,JH
SERCHHIP,MZ
SHAHDARA,DL
SHAHDOL,MP
Shahid Bhagat Singh Nagar,PB
SHAHJAHANPUR,UP
SHAJAPUR,MP
Shamali (Prabuddh Nagar),UP
SHAMLI,UP
SHEIKHPURA,BR
SHEOHAR,BR
SHEOPUR,MP
SHI YOMI,AR
Shillong,ML
SHIMLA,HP
Shimoga,KA
SHIVAMOGGA,KA
Shivamogga (Shimoga),KA
SHIVPURI,MP
SHOPIAN,JK
SHRAVASTI,UP
Shrawasti,UP
Shupiyan,JK
SIANG,AR
Sibsagar,AS
SIDDHARTH NAGAR,UP
Siddharthnagar,UP
SIDDIPET,TS
SIDHI,MP
SIKAR,RJ
SIMDEGA,JH
SINDHUDURG,MH
SINGRAULI,MP
Sircilla,TS
SIRMAUR,HP
Sirmaur (Sirmour),HP
SIROHI,RJ
SIRSA,HR
SITAMARHI,BR
SITAPUR,UP
SIVAGANGA,TN
SIVASAGAR,AS
SIWAN,BR
SOLAN,HP
SOLAPUR,MH
Sonapur,OR
SONBHADRA,UP
SONEPUR,OR
SONIPAT,HR
SONITPUR,AS
SOUTH,DL
South 24 Parganas,WB
South Andaman,AN
SOUTH ANDAMANS,AN
South Delhi,DL
South Dinajpur,WB
SOUTH DISTRICT,SK
South East,DL
South East Delhi,DL
SOUTH GARO HILLS,ML
SOUTH GOA,GA
South Salamara-Mankachar,AS
SOUTH SALMARA MANCACHAR,AS
South Sikkim,SK
South Tripura,TR
South Twenty Four Parganas,WB
SOUTH WEST,DL
South West Delhi,DL
SOUTH WEST GARO HILLS,ML
SOUTH WEST KHASI HILLS,ML
SPSR NELLORE,AP
Sri Ganganagar,RJ
SRI MUKTSAR SAHIB,PB
Sri Potti Sriramulu Nellore,AP
Sriganganagar,RJ
SRIKAKULAM,AP
SRINAGAR,JK
Subarnapur,OR
SUKMA,CG
SULTANPUR,UP
Sunabeda,OR
SUNDARGARH,OR
Sundergarh,OR
SUPAUL,BR
SURAJPUR,CG
SURAT,GJ
Surendra Nagar,GJ
SURENDRANAGAR,GJ
SURGUJA,CG
SURYAPET,TS
TAMENGLONG,MN
TAPI,GJ
Tapi (Vyara),GJ
Tarn Taran,PB
TAWANG,AR
TEHRI GARHWAL,UA
TENGNOUPAL,MN
TENKASI,TN
THANE,MH
THANJAVUR,TN
The Dangs,GJ
THE NILGIRIS,TN
THENI,TN
THIRUVALLUR,TN
THIRUVANANTHAPURAM,KL
THIRUVARUR,TN
Thoothukkudi,TN
Thoothukudi (Tuticorin),TN
THOUBAL,MN
THRISSUR,KL
TIKAMGARH,MP
TINSUKIA,AS
TIRAP,AR
TIRUCHIRAPPALLI,TN
TIRUNELVELI,TN
Tirupathur,TN
TIRUPPUR,TN
Tiruvallur,TN
TIRUVANNAMALAI,TN
Tiruvarur,TN
TONK,RJ
Trimulgherry,TS
TUENSANG,NL
TUMAKURU,KA
Tumakuru (Tumkur),KA
Tumkur,KA
Tura,ML
TUTICORIN,TN
UDAIPUR,RJ
UDALGURI,AS
UDAM SINGH NAGAR,UA
Udham Singh Nagar,UA
UDHAMPUR,JK
UDUPI,KA
UJJAIN,MP
UKHRUL,MN
UMARIA,MP
UNA,HP
Unakoti,TR
UNNAO,UP
UPPER SIANG,AR
UPPER SUBANSIRI,AR
Uttar Bastar Kanker,CG
Uttar Dinajpur,WB
Uttar Dinajpur (North Dinajpur),WB
UTTAR KASHI,UA
UTTARA KANNADA,KA
Uttara Kannada (Karwar),KA
Uttarkashi,UA
VADODARA,GJ
VAISHALI,BR
VALSAD,GJ
VARANASI,UP
VELLORE,TN
VIDISHA,MP
VIJAYAPURA,KA
Vijayapura (Bijapur),KA
VIKARABAD,TS
VILLUPURAM,TN
Viluppuram,TN
VIRUDHUNAGAR,TN
VISAKHAPATANAM,AP
Visakhapatnam,AP
VIZIANAGARAM,AP
WANAPARTHY,TS
Warangal,TS
Warangal,AP
Warangal (Rural),TS
Warangal (Urban),TS
WARANGAL RURAL,TS
WARANGAL URBAN,TS
WARDHA,MH
WASHIM,MH
WAYANAD,KL
WEST,DL
West Champaran,BR
West Delhi,DL
WEST DISTRICT,SK
WEST GARO HILLS,ML
WEST GODAVARI,AP
WEST JAINTIA HILLS,ML
WEST KAMENG,AR
WEST KARBI ANGLONG,AS
WEST KHASI HILLS,ML
West Midnapore,WB
West Nimar,MP
WEST SIANG,AR
West Sikkim,SK
WEST SINGHBHUM,JH
West Tripura,TR
West Tripura,MN
WOKHA,NL
Y.S.R.,AP
YADADRI BHUVANAGIRI,TS
YADGIR,KA
Yamuna Nagar,HR
YAMUNANAGAR,HR
YANAM,PY
YAVATMAL,MH
YSR,AP
"YSR District, Kadapa (Cuddapah)",AP
ZUNHEBOTO,NL
